 Serial No,Playerss,Year,Matches,Runss,Average,Higest_score,Strike Rate,NO,Fifty,Four,Six
1,Jos Buttler,2022,17,863,57.53,116,149.05,2,4,83,45
2,K L Rahul,2022,15,616,51.33,103*,135.38,3,4,45,30
3,Quinton De Kock,2022,15,508,36.29,140*,148.97,1,3,47,23
4,Hardik Pandya,2022,15,487,44.27,87*,131.26,4,4,49,12
5,Shubman Gill,2022,16,483,34.5,96,132.32,2,4,51,11
6,David Miller,2022,16,481,68.71,94*,142.72,9,2,32,23
7,Faf Du Plessis,2022,16,468,31.2,96,127.52,1,3,49,13
8,Shikhar Dhawan,2022,14,460,38.33,88*,122.66,2,3,47,12
9,Sanju Samson,2022,17,458,28.63,55,146.79,1,2,43,26
10,Deepak Hooda,2022,15,451,32.21,59,136.66,0,4,36,18
11,Liam Livingstone,2022,14,437,36.42,70,182.08,2,4,29,34
12,David Warner,2022,12,432,48,92*,150.52,3,5,52,15
13,Abhishek Sharma,2022,14,426,30.43,75,133.12,0,2,47,13
14,Ishan Kishan,2022,14,418,32.15,81*,120.11,1,3,45,11
15,Rahul Tripathi,2022,14,413,37.55,76,158.23,3,3,40,20
16,Shreyas Iyer,2022,14,401,30.85,85,134.56,1,3,41,11
17,Tilak Varma,2022,14,397,36.09,61,131.02,3,2,29,16
18,Aiden Markram,2022,14,381,47.63,68*,139.05,4,3,25,19
19,Devdutt Padikkal,2022,17,376,22.12,54,122.87,0,1,40,14
20,Ruturaj Gaikwad,2022,14,368,26.29,99,126.46,0,3,33,14
21,Nitish Rana,2022,14,361,27.77,57,143.82,1,2,29,22
22,Virat Kohli,2022,16,341,22.73,73,115.98,1,2,32,8
23,Rishabh Pant,2022,14,340,30.91,44,151.78,2,0,35,16
24,Andre Russell,2022,14,335,37.22,70*,174.47,3,1,18,32
25,Rajat Patidar,2022,8,333,55.5,112*,152.75,1,2,27,18
26,Dinesh Karthik,2022,16,330,55,66*,183.33,10,1,27,22
27,Wriddhiman Saha,2022,11,317,31.7,68,122.39,1,3,40,7
28,Shimron Hetmyer,2022,15,314,44.86,59*,153.92,8,1,21,21
29,Nicholas Pooran,2022,14,306,38.25,64*,144.33,5,2,16,21
30,Suryakumar Yadav,2022,8,303,43.29,68*,145.67,1,3,23,16
31,Glenn Maxwell,2022,13,301,27.36,55,169.1,2,1,31,15
32,Shivam Dube,2022,11,289,28.9,95*,156.21,1,2,22,16
33,Prithvi Shaw,2022,10,283,28.3,61,152.97,0,2,37,10
34,Ambati Rayudu,2022,13,274,24.91,78,122.32,0,1,25,15
35,Rohit Sharma,2022,14,268,19.14,48,120.17,0,0,28,13
36,Yashasvi Jaiswal,2022,10,258,25.8,68,132.98,0,2,28,10
37,Jonny Bairstow,2022,11,253,23,66,144.57,0,2,34,9
38,Devon Conway,2022,7,252,42,87,145.66,1,3,22,12
39,Mitchell Marsh,2022,8,251,31.38,89,132.8,0,2,19,14
40,Rovman Powell,2022,14,250,25,67*,149.7,2,1,10,22
41,Moeen Ali,2022,10,244,24.4,93,137.85,0,1,24,11
42,Jitesh Sharma,2022,12,234,29.25,44,163.63,2,0,22,12
43,MS Dhoni,2022,14,232,33.14,50*,123.4,6,1,21,10
44,Robin Uthappa,2022,12,230,20.91,88,134.5,0,2,19,14
45,Shahbaz Ahmed,2022,16,219,27.38,45,120.99,3,0,14,9
46,Rahul Tewatia,2022,16,217,31,43*,147.61,5,0,22,9
47,Kane Williamson,2022,13,216,19.64,57,93.5,2,1,16,8
48,Bhanuka Rajapaksa,2022,9,206,22.89,43,159.68,0,0,16,13
49,Mayank Agarwal,2022,13,196,16.33,52,122.5,0,1,23,6
50,Ravichandran Ashwin,2022,17,191,27.29,50,141.48,5,1,14,9
51,Tim David,2022,8,186,37.2,46,216.27,3,0,12,16
52,Riyan Parag,2022,17,183,16.64,56*,138.63,3,1,11,10
53,Krunal Pandya,2022,14,183,20.33,42,126.2,4,0,16,4
54,Axar Patel,2022,13,182,45.5,42*,151.66,6,0,12,10
55,Venkatesh Iyer,2022,12,182,16.55,50*,107.69,1,1,17,7
56,Rinku Singh,2022,7,174,34.8,42*,148.71,2,0,17,7
57,Sam Billings,2022,8,169,24.14,36,122.46,1,0,9,10
58,Dewald Brevis,2022,7,161,23,49,142.47,0,0,14,11
59,Ayush Badoni,2022,13,161,20.13,54,123.84,3,1,11,7
60,Lalit Yadav,2022,12,161,23,48*,110.27,1,0,11,7
61,Matthew Wade,2022,10,157,15.7,35,113.76,0,0,23,2
62,Marcus Stoinis,2022,11,156,19.5,38*,147.16,2,0,7,13
63,Sai Sudharsan,2022,5,145,36.25,65*,127.19,1,1,14,3
64,Kieron Pollard,2022,11,144,14.4,25,107.46,1,0,6,9
65,Ajinkya Rahane,2022,7,133,19,44,103.9,0,0,14,4
66,Anuj Rawat,2022,8,129,16.13,66,109.32,0,1,10,7
67,Shardul Thakur,2022,14,120,15,29*,137.93,2,0,7,7
68,Shahrukh Khan,2022,8,117,16.71,26,108.33,1,0,4,9
69,Ravindra Jadeja,2022,10,116,19.33,26*,118.36,4,0,6,5
70,Abhinav Manohar,2022,8,108,18,43,144,1,0,14,3
71,Washington Sundar,2022,9,101,14.43,40,146.37,0,0,9,3
72,Rashid Khan,2022,16,91,22.75,40,206.81,4,0,3,9
73,Sarfaraz Khan,2022,6,91,30.33,36*,135.82,2,0,9,2
74,Manish Pandey,2022,6,88,14.67,38,110,0,0,9,2
75,Mahipal Lomror,2022,7,86,17.2,42,150.87,0,0,7,4
76,Aaron Finch,2022,5,86,17.2,58,140.98,0,1,10,3
77,Rahul Chahar,2022,13,77,12.83,25*,113.23,2,0,7,4
78,Evin Lewis,2022,6,73,24.33,55*,130.35,2,1,8,3
79,Sunil Narine,2022,14,71,8.88,22,177.5,2,0,6,6
80,Shashank Singh,2022,10,69,17.25,25*,146.8,1,0,5,4
81,Suyash S Prabhudessai,2022,5,67,13.4,34,113.55,0,0,7,2
82,Pat Cummins,2022,5,63,15.75,56*,262.5,1,1,5,6
83,Jaydev Unadkat,2022,5,59,19.67,19*,159.45,2,0,4,3
84,Romario Shepherd,2022,3,58,29,26*,141.46,1,0,2,5
85,Jason Holder,2022,12,58,9.67,16,131.81,2,0,2,6
86,Umesh Yadav,2022,12,55,13.75,21,137.5,3,0,4,4
87,Odean Smith,2022,6,51,17,25*,115.9,3,0,1,5
